Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000163735	2444.1796928245476	8.703726299155427	1.121093824791803	7.763602034621666	8.255065196692123e-15	2.67289485993664e-12	6374	CXCL5
ENSG00000115009	1222.0994308910429	8.389138089776166	0.7749559544606309	10.825309543708201	2.611950866200302e-27	8.795483346842897e-24	6364	CCL20
ENSG00000125538	30932.27447527344	8.073742260951132	0.8287483205725008	9.74209185169	1.9940657309203588e-22	2.4475007097706034e-19	3553	IL1B
ENSG00000050730	552.7957317901552	8.054814569360287	0.8269811427763062	9.740022054576727	2.0351018552466859e-22	2.4475007097706034e-19	79931	TNIP3
ENSG00000136244	309.66356412586106	7.984632241229109	0.8430745007720007	9.470850125247065	2.7757531432271055e-21	2.7491385689714574e-18	3569	IL6
ENSG00000163739	3471.896985306265	7.6434147112288775	1.085638089485375	7.040481340196976	1.915768653414297e-12	3.359978835160054e-10	2919	CXCL1
ENSG00000131203	513.9336410760939	7.319280938656227	1.07460794714952	6.811117448062041	9.684352515305754e-12	1.4303109061421315e-9	3620	IDO1
ENSG00000134321	3287.6113441306875	7.280514525675167	0.7696463447832598	9.459558373820945	3.0924651786535947e-21	2.8926575673883654e-18	91543	RSAD2
ENSG00000115008	1785.398406769309	7.048049335675631	0.694174857799848	10.153132537836456	3.208945947015154e-24	6.0032247677660164e-21	3552	IL1A
ENSG00000140519	126.30323456031401	7.029366191137214	0.7613112719019692	9.233235406558325	2.625781820208865e-20	2.0095585684934847e-17	51458	RHCG
ENSG00000169429	55584.49797810584	6.976639840384645	0.8506295848908998	8.201736648131579	2.369389092238044e-16	9.973351036502988e-14	3576	CXCL8
ENSG00000117090	509.27968197155604	6.907205393434135	0.6802102059434949	10.1545159615084	3.1637617716526614e-24	6.0032247677660164e-21	6504	SLAMF1
ENSG00000073756	3111.9634326861105	6.881147376686364	0.6976981872350155	9.862641902448415	6.043783989656184e-23	8.47993258615343e-20	5743	PTGS2
ENSG00000123610	1294.6344397408482	6.500425034628283	0.5480111530223728	11.86184806418146	1.8680583678485114e-32	1.0484166246488462e-28	7130	TNFAIP6
ENSG00000128271	653.9940152757675	6.2658852884454594	1.0065204203858191	6.2252937561302755	4.806545664519891e-10	4.3276903397605024e-8	135	ADORA2A
ENSG00000168685	5222.7343431493155	6.1324141222400526	0.7198354571193781	8.519188741800264	1.6067481255885216e-17	8.105351836766317e-15	3575	IL7R
ENSG00000163734	5723.7754570991465	6.129343575279447	0.9829492803251048	6.235666171149952	4.4985952751707337e-10	4.116459165654872e-8	2921	CXCL3
ENSG00000275302	11023.33554210927	6.009544342095617	0.8096630982901223	7.4222776791813825	1.1512313126406152e-13	2.8504825898426527e-11	6351	CCL4
ENSG00000081041	6962.285408688621	5.989109478735957	1.004380465373086	5.962988812721731	2.476653849842858e-9	1.774443441268264e-7	2920	CXCL2
ENSG00000109321	77.04083190899051	5.887108323236412	0.7639824107033012	7.70581657477808	1.3000925515761099e-14	3.9088675519441005e-12	374	AREG
ENSG00000122641	2309.6789474414786	5.8572161387038495	0.5755645321942813	10.176471639720065	2.525531485187017e-24	6.0032247677660164e-21	3624	INHBA
ENSG00000110944	204.93789076652695	5.854512193948473	0.6257371160902122	9.356184959155325	8.266780418258709e-21	6.959389095111094e-18	51561	IL23A
ENSG00000126353	551.177319887571	5.795446892485083	0.67796507542794	8.548297106347144	1.2491781899897686e-17	6.784649414470237e-15	1236	CCR7
ENSG00000185745	1541.2347325139733	5.760616543423529	0.7337656792408963	7.850757682456705	4.135312737759683e-15	1.4814097992693571e-12	3434	IFIT1
ENSG00000124882	1812.3723459088208	5.727914351604409	0.8229586038076194	6.96014881563035	3.3991348252313596e-12	5.556430393438874e-10	2069	EREG
ENSG00000275718	29.93842237087267	5.685182802011398	0.6953563022789673	8.17592762642508	2.93598195841274e-16	1.2056860544828123e-13	6359	CCL15
ENSG00000123689	2108.903641986011	5.652198172425856	0.798910181259563	7.0748856442342385	1.4957205224545047e-12	2.679090046443244e-10	50486	G0S2
ENSG00000184557	3762.6044611406646	5.615376512729231	0.7270447197073873	7.723564122698318	1.1312120184665929e-14	3.527077176837412e-12	9021	SOCS3
ENSG00000137959	692.3018058513936	5.494449273781555	0.7606067586945837	7.223771299655007	5.056526968528829e-13	1.0135326734419037e-10	10964	IFI44L
ENSG00000197632	2512.7365929906287	5.425678795012232	1.2696052706900638	4.27351628121647	1.9241422748526965e-5	3.2526891045878365e-4	5055	SERPINB2
ENSG00000166165	387.67715934834763	5.425190631067596	0.6132542748177541	8.846559826557826	9.02585524483558e-19	5.628456472492469e-16	1152	CKB
ENSG00000277632	8034.341168530763	5.353002631480584	0.5946235588762887	9.002338625123791	2.209598246389543e-19	1.4881202269784294e-16	6348	CCL3
ENSG00000172183	154.25710916015962	5.3468472579419375	0.6880766771334198	7.770714275939875	7.804476650717779e-15	2.628079467362705e-12	3669	ISG20
ENSG00000232810	2935.1832115236484	5.3050884694201805	0.9792917516287035	5.417270655651957	6.051569878061545e-8	2.6688000589577907e-6	7124	TNF
ENSG00000078081	109.816328144123	5.2788646761791576	0.6355118455790875	8.306477232330707	9.858513441387332e-17	4.486156508449689e-14	27074	LAMP3
ENSG00000035720	12.6685224143843	5.2099168332308805	0.8328944029294767	6.255194914152902	3.970197445039297e-10	3.755405302366665e-8	26228	STAP1
ENSG00000135114	431.1513453604601	5.157052542658308	0.5431164888808391	9.495297322467733	2.1958384159721193e-21	2.3107082131076608e-18	8638	OASL
ENSG00000125430	482.98758319065763	5.106925888599847	0.6293425840789887	8.114699398696462	4.869887821304317e-16	1.9068442150535064e-13	9953	HS3ST3B1
ENSG00000105855	482.99878920734653	5.101725998911543	0.6359216674256091	8.022569854499178	1.0355547381310861e-15	3.8745855835362437e-13	3696	ITGB8
ENSG00000198576	86.39383195524682	5.094831056690427	0.6782962906367214	7.511217630141946	5.857991233647584e-14	1.5411093500144433e-11	23237	ARC
ENSG00000185885	55.888867403647446	5.085864864740155	0.898086173190626	5.6630031911878005	1.4874639234048124e-8	8.078848412376395e-7	8519	IFITM1
ENSG00000119922	2067.2185489319627	5.075452889680796	0.6020190322080038	8.430718329727448	3.4354976955505693e-17	1.6526707057138555e-14	3433	IFIT2
ENSG00000164683	66.00962323083606	4.910930367728811	0.8281136284842809	5.930261498917029	3.0245260800010278e-9	2.1396615802091302e-7	23462	HEY1
ENSG00000182782	112.69794404601187	4.89618477599853	0.3956735575121343	12.374303723463695	3.600026475433085e-35	6.061364576686685e-31	338442	HCAR2
ENSG00000231852	10.16537007064188	4.822990722517545	0.795556425233088	6.062411878710513	1.3409528130282376e-9	1.0599822776035886e-7	1589	CYP21A2
ENSG00000010030	38.91420030453251	4.752031429284095	0.6634686646377147	7.1624052235819295	7.927367449640423e-13	1.5167396107908615e-10	51513	ETV7
ENSG00000134460	635.36839291444	4.750756955651761	1.0248589619088024	4.635522674069673	3.560366931183134e-6	8.211766852100059e-5	3559	IL2RA
ENSG00000117594	564.5040395379292	4.735841213223915	0.7565322932796632	6.259932662878731	3.851437397439405e-10	3.663652624897586e-8	3290	HSD11B1
ENSG00000275385	106.15480335060187	4.6516277355173585	0.9591525586095553	4.849726661064883	1.2363172297526848e-6	3.463539633501823e-5	6362	CCL18
ENSG00000163568	22.044162265423733	4.64585962629326	0.804214632019488	5.776890199854857	7.609390714119794e-9	4.516764179243196e-7	9447	AIM2
ENSG00000134326	638.8438800438672	4.580265556194312	0.6274439281424852	7.299880277356333	2.8802389846627487e-13	6.13855490946414e-11	129607	CMPK2
ENSG00000197272	16.690818084640203	4.575918221875428	0.6929939765639631	6.603113990346599	4.0260972172637606e-11	5.017422814555815e-9	246778	IL27
ENSG00000105976	62.43146118879239	4.570427894609765	0.77865053325821465	5.869677986972017	4.366423729861969e-9	2.922358788578561e-7	4233	MET
ENSG00000163082	1196.9310544065358	4.547240774860415	0.8132405663229227	5.591507560205488	2.2510649082891577e-8	1.1626128791676241e-6	130367	SGPP2
ENSG00000154099	100.30529460406656	4.53315623043884	0.5471441082287063	8.285122990932365	1.1798709090242665e-16	5.093714485959378e-14	123872	DNAAF1
ENSG00000131459	25.299051213217737	4.466092307739815	0.7252202996981131	6.158256063156136	7.355036552669068e-10	6.350602586527646e-8	9945	GFPT2
ENSG00000135074	22.393772245158953	4.451507756751949	0.8236268969509054	5.40476248800468	6.489432584165764e-8	2.8088065917634693e-6	8728	ADAM19
ENSG00000185291	857.9460100739147	4.446448674471822	0.6886014721605169	6.457216335191524	1.0664639524200238e-10	1.1436976794201237e-8	3563	IL3RA
ENSG00000167874	93.63399722896126	4.441222056257154	0.7556912268973431	5.877032706190821	4.176857086623782e-9	2.847196063460916e-7	92162	TMEM88
ENSG00000260583	11.166148017394782	4.423234559866342	0.8392323651943856	5.270571945639654	1.35999303649335e-7	5.300509897092253e-6	282566	LINC00515
