GeneID	Symbol	log2FoldChange	AveExpr	t	P.Value	adj.P.Val	infected	control
1763	NA	102.49154062440086	66.31629977235882	30.434408229970106	2.1120337689310845e-87	1.828395456110932e-85	117.36420996752376	14.872669343122908
1454	NA	95.15982982881394	84.37109048958965	24.902213556809112	1.3094524490413805e-70	4.0700986095602695e-69	131.76729916880586	36.607469339991916
18695	NA	89.32642786538142	70.24328343754084	28.21846183684333	7.095559674659963e-81	3.799750921443008e-79	114.7340525287926	25.407624663411188
15139	NA	88.21065158485762	66.08595888186574	23.683523134275166	1.0911023119931737e-66	2.8056573641945483e-65	110.02099384111914	21.810342256261524
15137	NA	80.7330544506539	56.38421749309974	23.298819136659418	1.9564272272422285e-65	4.724125000987587e-64	96.5948894009544	15.86183495030051
20271	NA	77.52988278766824	60.98275926360592	22.320402544859377	3.2581102547896365e-62	6.775362019168413e-61	99.5980290690469	22.06814628137866
3658	NA	67.24430405373418	53.32535240020846	42.31798132362756	3.6445698094485474e-118	5.679211648403356e-115	86.81768916828457	19.573385114550394
18174	NA	62.44131172138269	35.21391994042084	28.559204432134504	6.762218109834101e-82	3.8740217181191735e-80	66.31403272829102	3.872721006908332
9393	NA	58.91178320078574	35.001601900561155	16.336475179002523	1.0936396361725837e-41	9.865971769933605e-41	64.3437641897556	5.431980988969861
13408	NA	58.904632311679215	34.397978458906294	26.05929884666681	2.9333031166008566e-74	1.0629926674019911e-72	63.736579108352714	4.831946796673502
20288	NA	57.85057543234218	99.17079231182	14.734325404935612	4.439434933554166e-36	3.2528950513133253e-35	127.98439938043843	70.13382394809625
20435	NA	52.76363556941503	47.58418941386028	24.283831672235895	1.249851864458037e-68	3.549700787344126e-67	73.86414689824078	21.100511328825746
7269	NA	49.82610150541638	76.73548371420418	14.836622697848867	1.949646844941036e-36	1.4466998524968817e-35	101.55234508176676	51.72624357635038
3504	NA	49.15752014352533	34.57379469806674	13.77533323426412	9.673989541018005e-33	6.33211513670554e-32	59.057656082293676	9.900135938768344
3505	NA	49.15752014352533	34.57379469806674	13.77533323426412	9.673989541018005e-33	6.33211513670554e-32	59.057656082293676	9.900135938768344
3506	NA	49.15752014352533	34.57379469806674	13.77533323426412	9.673989541018005e-33	6.33211513670554e-32	59.057656082293676	9.900135938768344
10717	NA	48.58989755641018	30.488330517973626	42.12609376761621	1.01670061968965e-117	1.3979035461544634e-114	54.68947640514318	6.099578848733
9169	NA	43.42483038276186	32.7117335738059	47.046058937413314	1.0996360833291825e-128	8.56763127057877e-125	54.340317046301216	10.915486663539355
3561	NA	43.21068764924836	23.861507639530355	27.15177245524172	1.2242880640354403e-77	5.260387722199335e-76	45.383433148229344	2.172745498980987
13407	NA	42.98853805449916	29.759564710504478	39.36672931153844	3.855888792992577e-111	2.310962683266885e-108	51.1708442820504	8.18230622755124
12385	NA	39.98696280010947	48.38905756427214	22.365435644719938	2.31029785761258e-62	4.843130235321654e-61	68.30534405544635	28.318381255336885
8534	NA	38.95753589430011	98.44034138043152	10.13362989557541	1.547514640075936e-20	6.69844577724721e-20	117.84390172932994	78.88636583502984
8535	NA	38.95753589430011	98.44034138043152	10.13362989557541	1.547514640075936e-20	6.69844577724721e-20	117.84390172932994	78.88636583502984
8536	NA	38.95753589430011	98.44034138043152	10.13362989557541	1.547514640075936e-20	6.69844577724721e-20	117.84390172932994	78.88636583502984
8537	NA	38.95753589430011	98.44034138043152	10.13362989557541	1.547514640075936e-20	6.69844577724721e-20	117.84390172932994	78.88636583502984
8538	NA	38.95753589430011	98.44034138043152	10.13362989557541	1.547514640075936e-20	6.69844577724721e-20	117.84390172932994	78.88636583502984
8539	NA	38.95753589430011	98.44034138043152	10.13362989557541	1.547514640075936e-20	6.69844577724721e-20	117.84390172932994	78.88636583502984
9546	NA	37.118338750189125	19.81137613318594	26.957457073348174	4.833141020553625e-77	2.0245490719430183e-75	38.29888848366623	1.1805497334771045
3496	NA	37.11224299721022	71.63553953876041	12.356668565596257	7.204878715349316e-28	3.980308085383477e-27	90.12001578061424	53.00777278340402
22666	NA	37.04605655919033	46.246321497572055	14.926619558116444	9.449526854321548e-37	7.074735448203455e-36	64.69783229346223	27.651775734271897
18873	NA	36.538170516352835	45.9232523130483	22.04246743085707	2.732318612646816e-61	5.477291187993713e-60	64.12180056250588	27.583630046153047
14751	NA	35.013372692609806	26.93403583252417	21.332130273840942	6.504212654194437e-59	1.1596450539980228e-57	44.373128795252605	9.359756102642802
9181	NA	32.539521111342054	17.007658072931804	23.432061050604577	7.185077232542185e-66	1.7715611311544414e-64	33.21460102027979	0.6750799089377295
3488	NA	32.04659135268524	51.177237443810796	16.67952473301659	6.883013581727629e-43	6.521425190891837e-42	67.13866711368104	35.0920757609958
9545	NA	29.805545487080877	19.680865629175784	17.50401580770999	9.044121648431592e-46	9.6177115291374e-45	34.52609870961374	4.720553222532862
20968	NA	28.868402683975738	32.187859285351664	22.293168651415527	4.011446477237709e-62	8.312371450261898e-61	46.566330120227626	17.697927436251888
5687	NA	28.780816794060993	19.04864903307129	33.58084121106956	3.221852800699669e-96	5.457071548083628e-94	33.383496007719415	4.602679213658424
5708	NA	28.635921012996725	24.655845485273478	22.22124569535936	6.950885539467825e-62	1.426426677783327e-60	38.91852429097454	10.282603277977813
6118	NA	28.001199262688992	19.31829295437292	33.27471200514122	2.204351384432731e-95	3.458020755686621e-93	33.264836216484426	5.263636953795435
16909	NA	27.512089473874717	44.00123403363221	24.182011632087406	2.6592727222480097e-68	7.426265305833331e-67	57.704166628728125	30.192077154853408
1621	NA	26.54912241141534	17.046929142814722	30.126253097510105	1.645718203356405e-86	1.3310386603893637e-84	30.270237216454024	3.7211148050386846
4563	NA	25.98468337022361	43.11704929820603	11.515190554638401	4.871563622354349e-25	2.4519364364537158e-24	56.059227501908154	30.074544131684544
17584	NA	25.935613610935924	31.45056093599791	38.54919350812373	3.973420965430778e-109	2.0638831476884223e-106	44.36829898932121	18.432685378385287
18141	NA	25.51892767588756	31.322801893878864	39.08393920070555	1.9013179492659342e-110	1.0581287082414749e-107	44.03300139268003	18.514073716792467
14825	NA	25.136836832771493	15.80106855997506	28.10354666893202	1.5729413579126055e-80	8.299307291162358e-79	28.32096026432844	3.184123431556947
21489	NA	24.42212354577824	20.889835358253826	33.31289624623241	1.7331882466385297e-95	2.7558872161176186e-93	33.05375017449087	8.631626628712633
13154	NA	24.198856075632804	27.417956302730705	13.407168742154639	1.8168655520259018e-31	1.1342792578272818e-30	39.47066840217716	15.271812326544358
13155	NA	24.198856075632804	27.417956302730705	13.407168742154639	1.8168655520259018e-31	1.1342792578272818e-30	39.47066840217716	15.271812326544358
3927	NA	23.901420101108847	26.102308076276802	22.2047811675506	7.883636207626363e-62	1.616422041377707e-60	38.00687638918429	14.105456288075445
3510	NA	22.093699989614056	16.60058286823338	16.310211674249956	1.351636044199287e-41	1.2146536292623658e-40	27.60478093255852	5.5110809429444645
3518	NA	21.69904516951948	13.775690874056036	19.548899270876415	7.480519458453036e-53	1.0520436932724504e-51	24.583323410225965	2.884278240706485
3519	NA	21.69904516951948	13.775690874056036	19.548899270876415	7.480519458453036e-53	1.0520436932724504e-51	24.583323410225965	2.884278240706485
20655	NA	21.366658706862804	24.38001489793186	29.586659639968122	6.166082518891364e-85	4.23900037636961e-83	35.02209587548128	13.655437168618473
20656	NA	21.366658706862804	24.38001489793186	29.586659639968122	6.166082518891364e-85	4.23900037636961e-83	35.02209587548128	13.655437168618473
20657	NA	21.366658706862804	24.38001489793186	29.586659639968122	6.166082518891364e-85	4.23900037636961e-83	35.02209587548128	13.655437168618473
20658	NA	21.366658706862804	24.38001489793186	29.586659639968122	6.166082518891364e-85	4.23900037636961e-83	35.02209587548128	13.655437168618473
20659	NA	21.366658706862804	24.38001489793186	29.586659639968122	6.166082518891364e-85	4.23900037636961e-83	35.02209587548128	13.655437168618473
20660	NA	21.366658706862804	24.38001489793186	29.586659639968122	6.166082518891364e-85	4.23900037636961e-83	35.02209587548128	13.655437168618473
20661	NA	21.366658706862804	24.38001489793186	29.586659639968122	6.166082518891364e-85	4.23900037636961e-83	35.02209587548128	13.655437168618473
20662	NA	21.366658706862804	24.38001489793186	29.586659639968122	6.166082518891364e-85	4.23900037636961e-83	35.02209587548128	13.655437168618473
12478	NA	20.703965498227145	42.15069107255657	17.72080642458308	1.5869043246821778e-46	1.7308586880597865e-45	52.46270477630678	31.758739278079634
8695	NA	20.179727874126456	17.591987173223796	21.743389643913932	2.7188720771443056e-60	5.217644986138833e-59	27.64289410666903	7.463166232542571
9212	NA	20.111421578099176	16.902138025013937	13.844077166334339	5.5873601765318e-33	3.690278518402212e-32	26.91902367588186	6.807602097782684
5899	NA	20.03946397273514	37.09556526196666	16.915579495010526	1.0277776004780637e-43	1.0072651418689418e-42	47.07661102444868	27.037147051713543
