Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000125538	42678.63795519445	9.15332435355025	0.8724042462965809	10.492067630810801	9.394961790629302e-26	6.895529876627228e-24	3553	IL1B
ENSG00000146674	615.5280349661609	8.01770906565859	0.6672427028848976	12.016180965326615	2.9216552434243122e-33	4.608134110532856e-31	3486	IGFBP3
ENSG00000073756	2940.0431358370133	6.8612956454344864	0.7715468528985152	8.892908602579682	5.952977655321493e-19	2.322601229415696e-17	5743	PTGS2
ENSG00000081041	3861.000283041764	6.7696277901849005	1.3559745943373434	4.9924444148551155	5.961987510908207e-7	3.5961117508838516e-6	2920	CXCL2
ENSG00000078401	217.06354057843092	6.389664553921227	0.7817526433978911	8.17351192590603	2.995397375906505e-16	8.193682932691853e-15	1906	EDN1
ENSG00000046604	2692.7301312266527	6.151651653167093	0.3818025500873856	16.112128249953084	2.0968111980015995e-58	2.2205230586836938e-55	1829	DSG2
ENSG00000120875	17512.67542473882	5.884572071922638	0.548840363854355	10.72182816620284	8.039826732176323e-27	6.58555089122907e-25	1846	DUSP4
ENSG00000141682	4900.311170367486	5.709585299142979	0.49074068139194005	11.634628054369315	2.7478532562153827e-31	3.259173790131941e-29	5366	PMAIP1
ENSG00000152894	138.8844367927131	5.12985141443793	0.6352671853125738	8.075108447343872	6.741670171970072e-16	1.7753463937767014e-14	5796	PTPRK
ENSG00000120833	5652.99522169424	4.643524389377663	0.3314717348973835	14.008809501706676	1.3769380674171097e-44	5.3722325756647545e-42	8835	SOCS2
ENSG00000185499	694.0992265353292	4.428086506741054	0.5443336511415241	8.134875544539453	4.1236175309430576e-16	1.1136020676459339e-14	4582	MUC1
ENSG00000013619	747.0164473745403	4.398521435080589	0.5116871345487726	8.596114965758114	8.24601948770103e-18	2.816946657250126e-16	10046	MAMLD1
ENSG00000109654	450.79063942619433	4.316331178009045	0.40241079505994054	10.726181382301416	7.670060174789514e-27	6.3175728973016295e-25	23321	TRIM2
ENSG00000039560	368.0440344046752	4.305077481431052	0.9921410835311918	4.339178724570683	1.4301617925519964e-5	6.435077006487374e-5	26064	RAI14
ENSG00000167695	906.1966000130404	4.286242447786408	0.4539767706561958	9.441545746032126	3.673200520257186e-21	1.8398267200450353e-19	79850	TLCD3A
ENSG00000123374	7586.234222723695	4.21845797555925	0.3225827783243843	13.077133247693816	4.4490504338978466e-39	1.1572214339117452e-36	1017	CDK2
ENSG00000115738	59442.35167019308	4.130580608923188	0.458348479093186	9.011878073851767	2.0255745552652224e-19	8.435721448416345e-18	3398	ID2
ENSG00000121966	49311.473005050204	4.100855723831152	0.39155136002328833	10.473353287771097	1.1451317146553987e-25	8.241613010427642e-24	7852	CXCR4
ENSG00000198369	11179.707045996818	4.0294131040199614	0.3571708890248181	11.281471216821304	1.6201354057161858e-29	1.6229815895370386e-27	200734	SPRED2
ENSG00000171791	1664.0546790310311	3.893902576441539	0.40401726545228234	9.637960823487234	5.527506228308408e-22	2.9268145478893023e-20	596	BCL2
ENSG00000142949	648.0777974464354	3.85255094694889	0.5627869435871226	6.845487427965701	7.621591295151603e-12	1.1577634481753859e-10	5792	PTPRF
ENSG00000176894	4946.762046103073	3.7550516611195284	0.5369552013251117	6.993230816747313	2.68627012183922e-12	4.3621731463733056e-11	5827	PXMP2
ENSG00000099860	12262.235284190281	3.6859950404828683	0.39850352802912037	9.249591989091542	2.2535123214735395e-20	1.0343830860113529e-18	4616	GADD45B
ENSG00000165806	11039.930387236527	3.6491468756338055	0.2175303155821605	16.77534860310325	3.6968318216460463e-63	4.982657144338571e-60	840	CASP7
