pert	cell	pearson
fostamatinib	SKBR3	-0.3910174500526561
temozolomide	MCF7	-0.3333163747560811
chloroquine	MCF7	-0.32674414575743926
verapamil	MCF7	-0.32471949754387247
nimodipine	A375	-0.32458982430392225
benzbromarone	MCF7	-0.3193032486398336
methoxsalen	PC3	-0.3002712439407426
procaterol	VCAP	-0.29362683201793766
atorvastatin	HEPG2	-0.2924017423089639
quinine	A549	-0.28950930159772265
carbetocin	PC3	-0.28937733776710683
temozolomide	HT29	-0.28201270008113183
bucladesine	HEPG2	-0.2784545860984618
itraconazole	HA1E	-0.2779630898955998
nicergoline	VCAP	-0.2778805006094978
cefdinir	MCF7	-0.2719327044201374
quercetin	VCAP	-0.2697384961004594
ephedrine	VCAP	-0.2694148012491829
olanzapine	MCF7	-0.2685720826265823
thalidomide	MCF7	-0.26735723074057427
mupirocin	MCF7	-0.2637594590272823
resveratrol	A375	-0.2618477554371024
temozolomide	HCC515	-0.2615633570039493
temozolomide	A549	-0.2609569774618015
norepinephrine	NPC	-0.2607129259224979
mometasone	PC3	-0.2595145402676906
dopamine	VCAP	-0.2580334382321149
rilmenidine	A375	-0.25592142483517016
oxibendazole	VCAP	-0.25420179521892017
ubenimex	MCF7	-0.25300303249293504
resveratrol	HT29	-0.2529492133286417
stiripentol	MCF7	-0.251678792116565
oxybuprocaine	HCC515	-0.2514834439797224
rilmenidine	MCF7	-0.25115064276976845
dexamethasone	MCF7	-0.2507576826471707
nifedipine	VCAP	-0.25011572222800554
sirolimus	A375	-0.24791426746231796
benzthiazide	HCC515	-0.2439194750010528
amcinonide	PC3	-0.2435092312968423
tubocurarine	NPC	-0.24336015837533212
benzonatate	NPC	-0.2425506614774515
rilmenidine	A549	-0.2417273826949275
dasatinib	SKBR3	-0.2413333929177902
rosuvastatin	HA1E	-0.24001327419421267
minoxidil	MCF7	-0.23978034120944172
methylprednisolone	PC3	-0.23861712397783064
ketorolac	A549	-0.2379663696319725
methylergometrine	NPC	-0.23702750555599064
isoxsuprine	VCAP	-0.23644933775288524
temozolomide	PC3	-0.2350836445508006
doxycycline	VCAP	-0.23428162520119067
benzthiazide	VCAP	-0.23427302018009669
imiquimod	A375	-0.2342446506158444
pravastatin	HCC515	-0.2329193914779225
tolazamide	PC3	-0.2312853333571346
diphenhydramine	VCAP	-0.23087566922012664
flavoxate	VCAP	-0.2307259334084452
mirtazapine	A549	-0.22876428786103564
parecoxib	VCAP	-0.22836577447651307
mirtazapine	HCC515	-0.2281771545709898
acetyl-farnesyl-cysteine	VCAP	-0.22748185428979364
estradiol	NKDBA	-0.22718107334784016
ramipril	VCAP	-0.22597602696023736
gefitinib	PC3	-0.22579876450894815
lofexidine	MCF7	-0.22533036360660663
lypressin	NEU	-0.22389718084769727
flupirtine	A549	-0.2235378026803149
gabexate	VCAP	-0.2233882566104745
aniracetam	VCAP	-0.2231439408399358
ketotifen	HCC515	-0.22162956835449524
flupirtine	MCF7	-0.22161312274638645
triclabendazole	VCAP	-0.2212480909205679
olaparib	VCAP	-0.22040011863155465
propranolol	PC3	-0.2202256158554632
chloroquine	A549	-0.21973298794611704
carbamazepine	A549	-0.2195353568996548
curcumin	A549	-0.21817240318782533
rosmarinic-acid	VCAP	-0.2178590446919066
nevirapine	VCAP	-0.21720865096170627
pinacidil	PHH	-0.21719675616665515
propafenone	NPC	-0.21704777623414168
abiraterone	VCAP	-0.21694972788378197
propantheline	VCAP	-0.21668774723600048
forskolin	A549	-0.2165927388186553
temozolomide	A375	-0.21565490760998343
hydrocortisone	VCAP	-0.21403431453066787
naltrexone	MCF7	-0.21393845815641024
treprostinil	MCF7	-0.213597153645166
triamterene	HA1E	-0.21273962967841376
talniflumate	MCF7	-0.21261355647979704
diflunisal	ASC	-0.2125573171740615
ibudilast	VCAP	-0.2118496112450224
iloperidone	PC3	-0.21184058302236727
milrinone	HCC515	-0.21181857601575677
clonidine	MCF7	-0.20952602602192372
sorafenib	FIBRNPC	-0.20948740354777928
pinacidil	NPC	-0.2094705169857405
halcinonide	PC3	-0.20941237146366976
proxymetacaine	HCC515	-0.2088485004430936
fluorometholone	PC3	-0.20847648931456583
methysergide	NPC	-0.20827148625773084
trazodone	HCC515	-0.20805802831363016
mefenamic-acid	VCAP	-0.2080274276634515
acitretin	NEU	-0.20760205510136187
vecuronium	PC3	-0.2071163585737632
letrozole	PC3	-0.20707064871715605
resveratrol	MCF7	-0.2070680527595689
cilostazol	VCAP	-0.2061635441678525
tetracycline	PC3	-0.2061102754162704
dihydroergocristine	HCC515	-0.2059568077073544
chenodeoxycholic-acid	VCAP	-0.20585981814855728
mepivacaine	MCF7	-0.2054168659630574
sulfacetamide	VCAP	-0.20535285899195063
cabergoline	NPC	-0.2050758648179702
piperidolate	NPC	-0.20486270263302145
pefloxacin	VCAP	-0.20484275866165605
isoxsuprine	MCF7	-0.20481348726206697
nabumetone	PC3	-0.2045085140584501
erlotinib	VCAP	-0.20439720275808165
flavoxate	NPC	-0.203818213037606
griseofulvin	VCAP	-0.2035744395550685
albendazole	VCAP	-0.2034788731125531
pancuronium	MCF7	-0.20293001218486817
esmolol	VCAP	-0.20226750951273875
methantheline	NPC	-0.2018244631271225
lofexidine	PC3	-0.2018218180232186
cabergoline	HCC515	-0.2017261043961258
bupropion	VCAP	-0.20124840111240447
dapsone	PC3	-0.20111211090621203
ketorolac	MCF7	-0.20020290663299264
nimodipine	MCF7	-0.2001182259242383
treprostinil	A549	-0.19984604060290864
ziprasidone	MCF7	-0.19969291861306
mebendazole	VCAP	-0.19947111554633795
amlexanox	VCAP	-0.19940358039668227
calcitriol	FIBRNPC	-0.199340281812005
capsaicin	MCF7	-0.19878605226393023
nimodipine	HT29	-0.1977129864447973
sulpiride	PC3	-0.1976575615184646
atovaquone	MCF7	-0.19764243340965465
ziprasidone	ASC	-0.1976015355145284
carbinoxamine	VCAP	-0.1975721975903041
valproic-acid	HT29	-0.1973295462788283
valproic-acid	A375	-0.1971718748609481
NECA	VCAP	-0.197007699480872
amiloride	A375	-0.1968415808016513
ketoprofen	PC3	-0.1959526663124352
tamoxifen	HA1E	-0.1959437228539404
doxycycline	MCF7	-0.19579220710921255
minoxidil	HT29	-0.1951489568628203
toremifene	HA1E	-0.19450930688161727
clofazimine	VCAP	-0.1937484184700503
methimazole	MCF7	-0.19327249449517367
rivaroxaban	A549	-0.1928671173294073
fostamatinib	HCC515	-0.1922236912556108
lansoprazole	VCAP	-0.19193599749465884
tofacitinib	ASC	-0.19191500622309335
mianserin	HA1E	-0.1916302988683196
tolazamide	HT29	-0.19136147199772
methazolamide	MCF7	-0.19121010534650668
fenoldopam	VCAP	-0.190106889217025
quinidine	NPC	-0.18964298498278656
streptozotocin	VCAP	-0.18931933546631807
atovaquone	VCAP	-0.18930135306852375
warfarin	VCAP	-0.18861116333748212
nifedipine	A549	-0.1881382524181237
fenbendazole	VCAP	-0.1876073431857381
montelukast	VCAP	-0.1875923932278234
mitotane	ASC	-0.1870740784414995
naproxen	HCC515	-0.18655900755398744
fluvastatin	HA1E	-0.1863906954100777
fludroxycortide	PC3	-0.1857296054564116
mirtazapine	VCAP	-0.1856680394777037
imiquimod	A549	-0.18564796261043973
atorvastatin	HA1E	-0.18544364754707948
ketanserin	ASC	-0.18542996766513636
molsidomine	VCAP	-0.1853054410587171
cinacalcet	PC3	-0.18527311935840624
gliquidone	MCF7	-0.18489036063633624
pazopanib	MDAMB231	-0.1847776873117184
proxymetacaine	A549	-0.18462204486366665
flunarizine	VCAP	-0.18433775169314764
hydralazine	PC3	-0.18427469620849757
triamterene	MCF7	-0.1836037896754327
haloperidol	HA1E	-0.1833953786060628
bezafibrate	MCF7	-0.18245648201985767
tadalafil	VCAP	-0.18194269037227548
benazepril	A549	-0.18184047409913215
balsalazide	MCF7	-0.18163276295373704
levetiracetam	VCAP	-0.1814449474686384
triprolidine	PC3	-0.18119799497328384
raclopride	MCF7	-0.18110481072736875
nimesulide	VCAP	-0.18101822750231225
lenalidomide	PC3	-0.18100992515771783
simvastatin	HEPG2	-0.18074131786372305
flupirtine	PC3	-0.1805501693519433
simvastatin	HUH7	-0.180498065402566
propafenone	HA1E	-0.1804049347133084
etomidate	VCAP	-0.1800287071528203
clopidogrel	PC3	-0.1798531619384783
carbetocin	VCAP	-0.17955912711092314
imiquimod	PC3	-0.1794926701888505
nalbuphine	A375	-0.17942955184841156
procaterol	MCF7	-0.1788180909669042
phenazopyridine	PC3	-0.17881542286232763
fipronil	VCAP	-0.17872775879821612
ropivacaine	MCF7	-0.1786094304501566
valsartan	HCC515	-0.1785740607452478
olmesartan	VCAP	-0.1784341306965986
rilmenidine	HT29	-0.17838824929864366
homochlorcyclizine	HA1E	-0.17737015725634786
rivaroxaban	PC3	-0.17700307084673472
varenicline	PC3	-0.1766561880899043
labetalol	VCAP	-0.17663456564344085
sulindac	FIBRNPC	-0.17640384639882614
itraconazole	A375	-0.1763944493100714
palonosetron	PC3	-0.17631791194554333
clofibric-acid	NPC	-0.17622615591009388
disopyramide	HCC515	-0.17523519040790214
enalapril	PC3	-0.1748161967901427
betahistine	NPC	-0.17397584723397982
tolbutamide	PC3	-0.17389696332032628
nitrendipine	FIBRNPC	-0.17387935797667564
flutamide	PC3	-0.1736781191576214
verapamil	A549	-0.1736170626741333
curcumin	MCF7	-0.1730981955985765
dienestrol	SKB	-0.1728521887426911
thalidomide	A375	-0.1726738924003139
resveratrol	VCAP	-0.172441550868172
lypressin	VCAP	-0.172209663114874
azaperone	PHH	-0.17183194622353437
chenodeoxycholic-acid	NEU	-0.1717699973323231
dienestrol	VCAP	-0.1716735911001269
cinacalcet	VCAP	-0.17150103262979963
nafcillin	MCF7	-0.1714149204978138
levetiracetam	MCF7	-0.17125645972038295
tropicamide	HA1E	-0.17096065897984009
droperidol	NPC	-0.17092345811265347
decitabine	MCF7	-0.16975543859761408
naproxen	ASC	-0.16963233286663162
nafcillin	HCC515	-0.169514538374772
midodrine	VCAP	-0.1689101593413536
mefenamic-acid	NPC	-0.16888696666132288
