pert	cell	scaled_score
tolazamide	A375	-0.8593539167594157
quercetin	VCAP	-0.8590983415089931
fostamatinib	SKBR3	-0.8492957940008521
minoxidil	MCF7	-0.8421396869890214
itraconazole	HA1E	-0.8183711886997265
maraviroc	MCF7	-0.8126743339241793
verapamil	MCF7	-0.804586613902744
thalidomide	A375	-0.8036742377399453
dexamethasone	A375	-0.7985297552798275
rilmenidine	MCF7	-0.7827280596891877
phenazopyridine	HA1E	-0.7757863061131951
fostamatinib	HCC515	-0.7752916443381836
NECA	VCAP	-0.77517897137832
dexamethasone	MCF7	-0.7680201162455172
methoxsalen	PC3	-0.763199912060129
halcinonide	PC3	-0.7609876746774392
cefdinir	MCF7	-0.7590200200612832
thalidomide	MCF7	-0.7581681025598748
atorvastatin	HEPG2	-0.7465215658793299
chloroquine	A375	-0.7412424254915702
benzbromarone	MCF7	-0.7369416161699438
coumarin	HCC515	-0.7332701265509709
norepinephrine	NPC	-0.7315937727578766
thiocolchicoside	SKB	-0.7271583055086086
ephedrine	VCAP	-0.7241875867375682
itraconazole	A375	-0.7213899995877818
rosuvastatin	HA1E	-0.7148549679156877
norgestrel	MCF7	-0.710754771425038
nimodipine	A375	-0.7095785756489
valproic-acid	HT29	-0.7086634513651292
salmeterol	HA1E	-0.7080396279044204
sorafenib	HS578T	-0.7076961127828849
chloroquine	MCF7	-0.7039201945669649
dobutamine	VCAP	-0.7011528367478739
treprostinil	MCF7	-0.6998777086167334
deferiprone	PC3	-0.6942028388089645
sirolimus	HT29	-0.6920922819022494
curcumin	MCF7	-0.6911139508361159
temozolomide	MCF7	-0.6866592467400414
iloperidone	PC3	-0.6865822993528176
panobinostat	SKB	-0.6823337043296648
formoterol	VCAP	-0.6798548992126633
fostamatinib	HA1E	-0.6795196284540445
meloxicam	MCF7	-0.679262679143136
thalidomide	HT29	-0.67810709427429
dydrogesterone	VCAP	-0.677780067878588
bezafibrate	MCF7	-0.676798988691482
ibudilast	VCAP	-0.6726575703862485
maraviroc	A375	-0.6715143520617778
hydrocortisone	VCAP	-0.6708740398752353
forskolin	A549	-0.6671668246836225
ramipril	VCAP	-0.6654162716242771
tamoxifen	HA1E	-0.66214875578823
tubocurarine	NPC	-0.6616321090454401
pinacidil	NPC	-0.6614452368193248
nifedipine	VCAP	-0.6576528298775712
albendazole	VCAP	-0.6560176978990616
triamterene	HA1E	-0.6556109759951632
forskolin	HA1E	-0.6538549266938731
dopamine	VCAP	-0.6506368770353271
nicotinamide	PC3	-0.6470176017148275
estradiol	HT29	-0.64688844002913
mometasone	PC3	-0.6451983456311745
gemfibrozil	A549	-0.6434340519669675
tretinoin	HCC515	-0.6430053450952911
treprostinil	A549	-0.6418593786498483
temsirolimus	MCF7	-0.6385094191846326
prazosin	NPC	-0.6370694037951551
norepinephrine	VCAP	-0.6366764224961183
resveratrol	MCF7	-0.633724940571884
cilostazol	VCAP	-0.6331066133531198
propranolol	PC3	-0.6326366846668592
mephentermine	HCC515	-0.6323069101501848
metformin	HEK293T	-0.6271789164159008
mestranol	VCAP	-0.6252140099207167
resveratrol	FIBRNPC	-0.6232738365142833
prednisolone	MCF7	-0.6231474229495584
fluconazole	MCF7	-0.6228616183684408
sirolimus	A375	-0.6226225318438517
rosmarinic-acid	NPC	-0.6225043626420436
mitotane	HA1E	-0.6191956249914122
granisetron	PC3	-0.6190911963944653
dantrolene	PC3	-0.6189730271926571
bucladesine	HEPG2	-0.6159336053973098
methylprednisolone	PC3	-0.6152850488478504
nifedipine	A549	-0.6122208939637523
valsartan	HCC515	-0.6119295931406903
ephedrine	NPC	-0.611226074171785
mephentermine	MCF7	-0.6093243744589636
curcumin	PC3	-0.6080877200214354
methylergometrine	NPC	-0.6076370281819807
chenodeoxycholic-acid	A549	-0.6070406859309948
tianeptine	HA1E	-0.6061942646715309
