refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	channel_count	characteristics_ch1_age	characteristics_ch1_bal_culture	characteristics_ch1_bal_smear	characteristics_ch1_bcg vaccinated	characteristics_ch1_cell line	characteristics_ch1_disease_status	characteristics_ch1_ethnicity	characteristics_ch1_exposure_latent	characteristics_ch1_gender	characteristics_ch1_geographical region	characteristics_ch1_gxbdataset_biirinternal	characteristics_ch1_healthy control	characteristics_ch1_illness	characteristics_ch1_index_case_disease_site	characteristics_ch1_infection status	characteristics_ch1_infection time	characteristics_ch1_isolate sensitivity	characteristics_ch1_isolate_sensitivity	characteristics_ch1_m. tuberculosis strain	characteristics_ch1_modal x-ray grade	characteristics_ch1_region of birth	characteristics_ch1_replicate	characteristics_ch1_sample	characteristics_ch1_smear of index case	characteristics_ch1_sputum smear status	characteristics_ch1_sputum_culture	characteristics_ch1_sputum_smear	characteristics_ch1_time post initiation of treatment	characteristics_ch1_tst	contact_address	contact_city	contact_country	contact_department	contact_email	contact_institute	contact_name	contact_state	contact_zip/postal_code	data_processing	data_row_count	description	detected_platform	detection_percentage	extract_protocol_ch1	geo_accession	growth_protocol_ch1	hyb_protocol	label_ch1	label_protocol_ch1	last_update_date	mapped_percentage	molecule_ch1	organism_ch1	platform_id	relation	scan_protocol	series_id	source_name_ch1	status	submission_date	supplementary_file	taxid_ch1	title	treatment_protocol_ch1	type
GSM734300	GSE29628		thp-1 cells					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO				PMA-treated THP-1 cells as non-infection control		1					THP-1 cells											0h			Control											Woodland Road	Bristol	United Kingdom	Department of Computer Science	hfang@cs.bris.ac.uk	University of Bristol	Hai,,Fang		BS8 1UB	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	54675	PMA-treated THP-1 cells as non-infection control			Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM734300	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80. THP-1 cells was maintained at 37C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Dec 01 2011		total RNA	Homo sapiens	GPL570		An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	GSE29628	PMA-treated THP-1 cells as non-infection control	Public on Dec 01 2011	May 31 2011	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734300/suppl/GSM734300.CEL.gz	9606	PMA-treated THP-1 cells as non-infection control		RNA
GSM734301	GSE29628		thp-1 cells					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO				THP1-cells infected by R1.4 strains at 4h		1					THP-1 cells											4h			R1.4											Woodland Road	Bristol	United Kingdom	Department of Computer Science	hfang@cs.bris.ac.uk	University of Bristol	Hai,,Fang		BS8 1UB	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	54675	THP1-cells infected by R1.4 strains at 4h			Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM734301	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80. THP-1 cells was maintained at 37C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Dec 01 2011		total RNA	Homo sapiens	GPL570		An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	GSE29628	THP1-cells infected by R1.4 strains at 4h	Public on Dec 01 2011	May 31 2011	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734301/suppl/GSM734301.CEL.gz	9606	THP1-cells infected by R1.4 strains at 4h		RNA
GSM734302	GSE29628		thp-1 cells					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	73	Affymetrix SCAN	v1.3.7				GEO				THP1-cells infected by R1.4 strains at 18h		1					THP-1 cells											18h			R1.4											Woodland Road	Bristol	United Kingdom	Department of Computer Science	hfang@cs.bris.ac.uk	University of Bristol	Hai,,Fang		BS8 1UB	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	54675	THP1-cells infected by R1.4 strains at 18h			Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM734302	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80. THP-1 cells was maintained at 37C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Dec 01 2011		total RNA	Homo sapiens	GPL570		An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	GSE29628	THP1-cells infected by R1.4 strains at 18h	Public on Dec 01 2011	May 31 2011	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734302/suppl/GSM734302.CEL.gz	9606	THP1-cells infected by R1.4 strains at 18h		RNA
GSM734303	GSE29628		thp-1 cells					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	73	Affymetrix SCAN	v1.3.7				GEO				THP1-cells infected by R1.4 strains at 48h		1					THP-1 cells											48h			R1.4											Woodland Road	Bristol	United Kingdom	Department of Computer Science	hfang@cs.bris.ac.uk	University of Bristol	Hai,,Fang		BS8 1UB	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	54675	THP1-cells infected by R1.4 strains at 48h			Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM734303	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80. THP-1 cells was maintained at 37C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Dec 01 2011		total RNA	Homo sapiens	GPL570		An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	GSE29628	THP1-cells infected by R1.4 strains at 48h	Public on Dec 01 2011	May 31 2011	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734303/suppl/GSM734303.CEL.gz	9606	THP1-cells infected by R1.4 strains at 48h		RNA
GSM734304	GSE29628		thp-1 cells					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO				THP1-cells infected by R17.1 strains at 4h		1					THP-1 cells											4h			R17.1											Woodland Road	Bristol	United Kingdom	Department of Computer Science	hfang@cs.bris.ac.uk	University of Bristol	Hai,,Fang		BS8 1UB	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	54675	THP1-cells infected by R17.1 strains at 4h			Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM734304	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80. THP-1 cells was maintained at 37C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Dec 01 2011		total RNA	Homo sapiens	GPL570		An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	GSE29628	THP1-cells infected by R17.1 strains at 4h	Public on Dec 01 2011	May 31 2011	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734304/suppl/GSM734304.CEL.gz	9606	THP1-cells infected by R17.1 strains at 4h		RNA
GSM734305	GSE29628		thp-1 cells					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO				THP1-cells infected by R17.1 strains at 18h		1					THP-1 cells											18h			R17.1											Woodland Road	Bristol	United Kingdom	Department of Computer Science	hfang@cs.bris.ac.uk	University of Bristol	Hai,,Fang		BS8 1UB	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	54675	THP1-cells infected by R17.1 strains at 18h			Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM734305	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80. THP-1 cells was maintained at 37C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Dec 01 2011		total RNA	Homo sapiens	GPL570		An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	GSE29628	THP1-cells infected by R17.1 strains at 18h	Public on Dec 01 2011	May 31 2011	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734305/suppl/GSM734305.CEL.gz	9606	THP1-cells infected by R17.1 strains at 18h		RNA
GSM734306	GSE29628		thp-1 cells					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO				THP1-cells infected by R17.1 strains at 48h		1					THP-1 cells											48h			R17.1											Woodland Road	Bristol	United Kingdom	Department of Computer Science	hfang@cs.bris.ac.uk	University of Bristol	Hai,,Fang		BS8 1UB	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	54675	THP1-cells infected by R17.1 strains at 48h			Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM734306	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80. THP-1 cells was maintained at 37C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Dec 01 2011		total RNA	Homo sapiens	GPL570		An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	GSE29628	THP1-cells infected by R17.1 strains at 48h	Public on Dec 01 2011	May 31 2011	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734306/suppl/GSM734306.CEL.gz	9606	THP1-cells infected by R17.1 strains at 48h		RNA
GSM734307	GSE29628		thp-1 cells					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	73	Affymetrix SCAN	v1.3.7				GEO				THP1-cells infected by ZA9.2 strains at 4h		1					THP-1 cells											4h			ZA9.2											Woodland Road	Bristol	United Kingdom	Department of Computer Science	hfang@cs.bris.ac.uk	University of Bristol	Hai,,Fang		BS8 1UB	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	54675	THP1-cells infected by ZA9.2 strains at 4h			Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM734307	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80. THP-1 cells was maintained at 37C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Dec 01 2011		total RNA	Homo sapiens	GPL570		An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	GSE29628	THP1-cells infected by ZA9.2 strains at 4h	Public on Dec 01 2011	May 31 2011	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734307/suppl/GSM734307.CEL.gz	9606	THP1-cells infected by ZA9.2 strains at 4h		RNA
GSM734308	GSE29628		thp-1 cells					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO				THP1-cells infected by ZA9.2 strains at 18h		1					THP-1 cells											18h			ZA9.2											Woodland Road	Bristol	United Kingdom	Department of Computer Science	hfang@cs.bris.ac.uk	University of Bristol	Hai,,Fang		BS8 1UB	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	54675	THP1-cells infected by ZA9.2 strains at 18h			Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM734308	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80. THP-1 cells was maintained at 37C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Dec 01 2011		total RNA	Homo sapiens	GPL570		An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	GSE29628	THP1-cells infected by ZA9.2 strains at 18h	Public on Dec 01 2011	May 31 2011	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734308/suppl/GSM734308.CEL.gz	9606	THP1-cells infected by ZA9.2 strains at 18h		RNA
GSM734309	GSE29628		thp-1 cells					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	73	Affymetrix SCAN	v1.3.7				GEO				THP1-cells infected by ZA9.2 strains at 48h		1					THP-1 cells											48h			ZA9.2											Woodland Road	Bristol	United Kingdom	Department of Computer Science	hfang@cs.bris.ac.uk	University of Bristol	Hai,,Fang		BS8 1UB	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	54675	THP1-cells infected by ZA9.2 strains at 48h			Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM734309	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80. THP-1 cells was maintained at 37C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Dec 01 2011		total RNA	Homo sapiens	GPL570		An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	GSE29628	THP1-cells infected by ZA9.2 strains at 48h	Public on Dec 01 2011	May 31 2011	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734309/suppl/GSM734309.CEL.gz	9606	THP1-cells infected by ZA9.2 strains at 48h		RNA
