node	type
ABHD4	dpgene
ABL inhibitor	moa
ACKR1	target
ACTC1	target
ADRA2A	target
AFG2A	target
AGL	dpgene
AKR7A2	dpgene
AKT1	target
APOB	target
ARHGEF10	target
ARPP19	dpgene
ASS1	target
ATP1B1	dpgene
ATP6V1D	dpgene
AURKA	dpgene
Antimalarial	moa
BCR-ABL kinase inhibitor	moa
BIRC5	dpgene
BPHL	dpgene
BUB1	target
CACNA2D1	target
CAMK2A	target
CCDC86	dpgene
CCK	target
CCNB1	dpgene
CD34	target
CDC20	dpgene
CDC25A	dpgene
CDC25C	target
CDC45	dpgene
CDH4	target
CDK1	dpgene
CDK2	target
CDKN1A	dpgene
CEL	target
CHAC1	dpgene
CHEK1	target
CHKA	target
CHST3	target
CNTN4	target
COG2	dpgene
CREBBP	target
CRISPLD2	target
CTSL	dpgene
CXCL2	dpgene
CYCS	dpgene
Calcium channel blocker	moa
Corticosteroid agonist	moa
Cyclooxygenase inhibitor	moa
Cytochrome P450 inhibitor	moa
DDIT4	dpgene
DDR2	target
DFFB	target
DNMT3B	target
DRD2	target
DSCAM	target
Dopamine receptor agonist	moa
Dopamine receptor antagonist	moa
EHF	target
EIF4E2	target
EIF4EBP1	target
EP300	target
EPHA5	target
EPHA6	target
EPM2A	target
ESR1	target
EWSR1	target
Estrogen receptor antagonist	moa
FABP1	target
FBXO11	dpgene
FDFT1	target
FDFT1	dpgene
FGD4	target
FLT3 inhibitor	moa
FMO1	target
FOXO3	target
FZD3	target
GABPA	target
GDF15	target
GFER	target
GNAS	dpgene
GRB2	target
Glucocorticoid receptor agonist	moa
Glucocorticoid receptor modulator	moa
HDAC1	target
HMG20B	dpgene
HMGCR	target
HMGCR	dpgene
HMGCR inhibitor	moa
HMGCS1	dpgene
HMOX1	dpgene
HOOK2	dpgene
HSD17B3	target
HSF1	target
HSP90AA1	target
HTR2B	target
Histone acetyltransferase inhibitor	moa
IAPP	target
IARS2	dpgene
ICAM1	dpgene
ICMT	target
IER3	dpgene
IGFBP3	dpgene
IKBKE	dpgene
IKZF1	dpgene
INSIG1	dpgene
ITGAE	dpgene
ITGB1BP1	dpgene
KDM3A	dpgene
KDM5C	target
KIF11	target
KIF20A	dpgene
KIF5C	dpgene
KIT	target
KIT	dpgene
KIT inhibitor	moa
KLHL21	dpgene
KRT19	target
LAMA3	dpgene
LIG1	dpgene
LIPC	target
LRMDA	target
LRRK2	target
Lipoxygenase inhibitor	moa
MAD1L1	target
MAD2L1	target
MAMLD1	dpgene
MAP7	dpgene
MAPK1	target
MAPK14	target
MBP	target
MCOLN1	dpgene
MECOM	target
MKI67	target
MKI67IP	target
MPC2	dpgene
MT1F	target
MUC1	dpgene
MVP	dpgene
MYO9B	target
NFE2	target
NFKB2	dpgene
NFkB pathway inhibitor	moa
NR1I2	target
NR3C1	dpgene
NTS	target
NUP85	dpgene
NVL	dpgene
ORC2	target
ORC5	target
Opioid receptor agonist	moa
PAK1	dpgene
PCNA	dpgene
PDCD4	target
PDGFA	target
PDGFC	target
PDGFD	target
PDGFR receptor inhibitor	moa
PECAM1	target
PIP	target
PIP4K2B	dpgene
PKN1	target
PKN3	target
PLD1	target
PLD2	target
PLK inhibitor	moa
PLK1	target
PLK3	target
PMM2	dpgene
PON1	target
PRKAG2	dpgene
PRPF4	dpgene
PRSS23	dpgene
PTK2	dpgene
Polar auxin transport inhibitor	moa
Protein synthesis inhibitor	moa
RAC2	dpgene
RAF1	target
RAP1GAP	dpgene
RBM34	dpgene
RET tyrosine kinase inhibitor	moa
RHOA	dpgene
RIPK1	target
RRAS2	target
RRS1	dpgene
S100A10	target
SCAP	target
SDS	target
SHB	dpgene
SIRT activator	moa
SIRT3	dpgene
SKP2	target
SLC15A1	target
SLC2A3	target
SLC37A4	dpgene
SMAD2	target
SMAD3	target
SMAD4	target
SNAP25	dpgene
SNORD68	target
SPG7	target
SRC	target
SREBF1	target
STUB1	dpgene
SULT1C4	target
SUPV3L1	dpgene
SUV39H1	dpgene
SYNGR3	dpgene
Selective estrogen receptor modulator (SERM)	moa
Serotonin receptor antagonist	moa
TEAD1	target
TEK	target
TFF3	target
TGFBR2	dpgene
THBD	target
TIAM1	dpgene
TIGD1	target
TIMELESS	dpgene
TIMM9	dpgene
TIPARP	dpgene
TLR4	dpgene
TNF production inhibitor	moa
TNFRSF21	dpgene
TP53	target
TPM1	dpgene
TRIB3	dpgene
TSC22D3	target
TSC22D3	dpgene
TXNRD1	dpgene
Tubulin inhibitor	moa
UBB	target
UBC	target
UBE2N	target
UBR1	target
UBR7	dpgene
USP6NL	dpgene
VAPB	dpgene
VEGFR inhibitor	moa
YME1L1	dpgene
ZDHHC6	dpgene
ZNF423	target
ZNF542P	target
chloroquine	drug
chlorpromazine	drug
curcumin	drug
cytokine production involved in inflammatory response	pathway
cytokine secretion involved in immune response	pathway
cytokinetic process	pathway
dendritic cell cytokine production	pathway
dexamethasone	drug
dopamine	drug
felodipine	drug
fluvastatin	drug
loperamide	drug
lovastatin	drug
macrophage cytokine production	pathway
mast cell cytokine production	pathway
mitotic cytokinetic process	pathway
myeloid leukocyte cytokine production	pathway
negative regulation of cytokine production involved in immune response	pathway
negative regulation of cytokine secretion	pathway
negative regulation of cytokine secretion involved in immune response	pathway
negative regulation of cytokine-mediated signaling pathway	pathway
negative regulation of response to cytokine stimulus	pathway
nilotinib	drug
paclitaxel	drug
positive regulation of T-helper 2 cell cytokine production	pathway
positive regulation of cytokinesis	pathway
quercetin	drug
regulation of cytokine production involved in inflammatory response	pathway
regulation of cytokine secretion involved in immune response	pathway
regulation of cytokinesis	pathway
resveratrol	drug
rifabutin	drug
ropinirole	drug
simvastatin	drug
sunitinib	drug
tamoxifen	drug
terguride	drug
thalidomide	drug
ziprasidone	drug
