node	type
ABHD4	dpgene
ACTR2	target
ADRA2A	target
AGTR1	target
AKR7A2	dpgene
ALDOC	dpgene
APOB	target
ATP6V1D	dpgene
Angiotensin receptor antagonist	moa
BIRC5	dpgene
CAMK2A	target
CASP2	dpgene
CCDC86	dpgene
CCNA2	dpgene
CCNB1	target
CD34	target
CDC20	dpgene
CDC25A	dpgene
CDC25C	target
CDC45	dpgene
CDK1	target
CDK2	target
CDKN1A	dpgene
CEL	target
CHEK1	target
CHST3	target
COPS7A	dpgene
COQ2	target
CREBBP	target
CSRP1	dpgene
CTNNB1	target
CTSL	dpgene
CYCS	dpgene
Calcium channel blocker	moa
Cyclooxygenase inhibitor	moa
Cytochrome P450 inhibitor	moa
DDIT4	dpgene
DFFB	target
DLD	dpgene
DNAJA3	dpgene
DNMT3B	target
DYNC2H1	target
Dopamine receptor agonist	moa
EP300	target
ESR1	target
Estrogen receptor antagonist	moa
FAS	dpgene
FDFT1	target
FMO1	target
FOXA3	target
FOXO3	target
GABPA	target
GADD45A	dpgene
GDF15	target
GFER	target
GNAS	dpgene
GRK4	target
HDAC1	target
HMG20B	dpgene
HMGCR	target
HMGCR	dpgene
HMGCR inhibitor	moa
HMGCS1	dpgene
HMOX1	dpgene
HNF1A	target
HSD17B3	target
HSF1	target
HSP90AA1	target
Histone acetyltransferase inhibitor	moa
IAPP	target
ICMT	target
IER3	dpgene
INSIG1	dpgene
ITGAE	dpgene
KCNA4	target
KCNIP1	target
KCNJ5	target
KCNMB1	target
KDM3A	dpgene
KIF5C	dpgene
LAGE3	dpgene
LAMA3	dpgene
LIG1	dpgene
LIPC	target
LPA	target
LRMDA	target
LTF	target
Lipoxygenase inhibitor	moa
MAMLD1	dpgene
MAP7	dpgene
MBP	target
MCOLN1	dpgene
MDM2	target
MECOM	target
MPC2	dpgene
MVP	dpgene
NFkB pathway inhibitor	moa
NOS1AP	target
NVL	dpgene
ORC5	target
PAPOLA	target
PCNA	dpgene
PECAM1	target
PIN1	target
PIP	target
PKN1	target
PKN3	target
PLA2G6	target
PLD1	target
PLD2	target
PLEKHH2	target
PLK1	dpgene
PON1	target
PRKCA	target
PRSS23	dpgene
Polar auxin transport inhibitor	moa
RBM34	dpgene
RHOA	dpgene
RIPK1	target
RRAS2	target
S100A13	dpgene
SATB1	dpgene
SCAP	target
SCP2	dpgene
SESN1	dpgene
SIRT activator	moa
SIRT3	dpgene
SKP2	target
SLC15A1	target
SLC2A3	target
SLIT1	target
SMAD1	target
SMAD2	target
SMAD4	target
SNORD68	target
SPG7	target
SREBF1	target
STUB1	dpgene
SULT1C4	target
SUMO1	target
SUV39H1	dpgene
Selective estrogen receptor modulator (SERM)	moa
TBP	target
TCFL5	dpgene
TFF3	target
THBD	target
TIMELESS	dpgene
TIPARP	dpgene
TNF production inhibitor	moa
TP53	target
TPM1	dpgene
TRIB3	dpgene
TSC22D3	dpgene
TXNDC9	dpgene
TXNRD1	dpgene
Topoisomerase inhibitor	moa
UBB	target
UBC	target
UBR7	dpgene
USP24	target
USP6NL	dpgene
Vesicular monoamine transporter inhibitor	moa
YAP1	target
ZNF423	target
ZNF542P	target
cholesterol efflux	pathway
cholesterol esterification	pathway
cholesterol import	pathway
cholesterol storage	pathway
curcumin	drug
dopamine	drug
etoposide	drug
fluvastatin	drug
intestinal cholesterol absorption	pathway
intracellular cholesterol transport	pathway
irbesartan	drug
lovastatin	drug
negative regulation of cholesterol biosynthetic process	pathway
negative regulation of cholesterol metabolic process	pathway
positive regulation of cholesterol efflux	pathway
positive regulation of cholesterol esterification	pathway
positive regulation of cholesterol storage	pathway
positive regulation of cholesterol transport	pathway
quercetin	drug
receptor-mediated endocytosis involved in cholesterol transport	pathway
regulation of cholesterol efflux	pathway
regulation of cholesterol esterification	pathway
regulation of cholesterol storage	pathway
regulation of cholesterol transport	pathway
regulation of cholesterol transporter activity	pathway
regulation of intestinal cholesterol absorption	pathway
reserpine	drug
resveratrol	drug
reverse cholesterol transport	pathway
rosuvastatin	drug
simvastatin	drug
tamoxifen	drug
thalidomide	drug
valsartan	drug
verapamil	drug
