series_id	SIGNATURE_NAME	tissue_category	sample_origin	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num
GSE16250	GSE16250_GPL570_MTB_control_blood_pmbc	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE16250.tsv	1	56	13
GSE18794	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE18794.tsv	0	0	0
GSE19491	GSE19491_GPL6947_PTB_control_blood_whole_blood	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE19491.tsv	0	2	0
GSE34151	GSE34151_GPL10558_MTB_control_blood_dcs	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE34151.tsv	1	179	237
GSE42830	GSE42830_GPL10558_MTB_control_blood_whole_blood	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE42830.tsv	0	0	0
GSE42834	GSE42834_GPL10558_MTB_control_blood_whole_blood	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE42834.tsv	0	0	0
GSE42834	GSE42834_GPL10558_MTB_control_blood_cd4	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE42834.tsv	0	0	0
GSE42834	GSE42834_GPL10558_MTB_control_blood_pbmc	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE42834.tsv	0	0	0
GSE42834	GSE42834_GPL10558_MTB_control_blood_cd8	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE42834.tsv	0	0	0
GSE42834	GSE42834_GPL10558_MTB_control_blood_cd15	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE42834.tsv	0	0	0
GSE42834	GSE42834_GPL10558_MTB_control_blood_cd14	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE42834.tsv	0	0	0
GSE63548	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	other	primary	data/microarray_data_forDE/expression_matrices/GSE63548.tsv	1	108	104
GSE83456	GSE83456_GPL10558_EPTB_control_blood	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE83456.tsv	1	44	38
GSE83456	GSE83456_GPL10558_PTB_control_blood	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE83456.tsv	1	54	91
GSE119143	GSE119143_GPL17586_MTB_control_blood_pbmc	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE119143.tsv	0	0	0
GSE139871	GSE139871_GPL10558_MTB_control_blood_monocyte	circulating	primary	data/microarray_data_forDE/expression_matrices/GSE139871.tsv	1	11	32
